Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
Q7Z3U7,Q7Z3U7,MON2,Protein MON2 homolog,10,6.1,190.36
Q7Z406,Q7Z406,MYH14,Myosin-14,28,15.8,227.87
Q7Z417,Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,14,35.5,76.12
Q7Z434,Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,8,35.7,56.527
Q7Z460,Q7Z460,CLASP1,CLIP-associating protein 1,31,27.2,169.45
Q7Z478,Q7Z478,DHX29,ATP-dependent RNA helicase DHX29,6,6.1,155.23
Q7Z494,Q7Z494,NPHP3,Nephrocystin-3,1,1.1,150.86
Q7Z4G1,Q7Z4G1,COMMD6,COMM domain-containing protein 6,6,80.0,9.638
Q7Z4G4,Q7Z4G4,TRMT11,tRNA (guanine(10)-N2)-methyltransferase homolog,3,7.8,53.42
Q7Z4H3,Q7Z4H3,HDDC2,HD domain-containing protein 2,3,21.6,23.39
Q7Z4H7,Q7Z4H7,HAUS6,HAUS augmin-like complex subunit 6,5,7.0,108.62
Q7Z4H8,Q7Z4H8,KDELC2,KDEL motif-containing protein 2,4,11.0,58.572
Q7Z4K8,Q7Z4K8,TRIM46,Tripartite motif-containing protein 46,4,6.3,83.423
Q7Z4L5;Q8NDW8,Q7Z4L5,TTC21B,Tetratricopeptide repeat protein 21B,10,10.2,150.94
Q7Z4Q2,Q7Z4Q2,HEATR3,HEAT repeat-containing protein 3,6,12.2,74.582
Q7Z4R8,Q7Z4R8,C6orf120,UPF0669 protein C6orf120,1,14.1,20.772
Q7Z4S6,Q7Z4S6,KIF21A,Kinesin-like protein KIF21A,36,32.5,187.18
Q7Z4V5,Q7Z4V5,HDGFRP2,Hepatoma-derived growth factor-related protein 2,8,15.6,74.316
Q7Z4W1,Q7Z4W1,DCXR,L-xylulose reductase,8,39.3,25.913
Q7Z569,Q7Z569,BRAP,BRCA1-associated protein,3,6.6,67.304
Q7Z589,Q7Z589,EMSY,Protein EMSY,6,4.9,141.47
Q7Z5G4,Q7Z5G4,GOLGA7,Golgin subfamily A member 7,1,10.9,15.824
Q7Z5J4,Q7Z5J4,RAI1,Retinoic acid-induced protein 1,12,10.7,203.35
Q7Z5K2,Q7Z5K2,WAPAL,Wings apart-like protein homolog,13,14.4,132.94
Q7Z5L9,Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2,6,15.0,61.024
Q7Z6B0,Q7Z6B0,CCDC91,Coiled-coil domain-containing protein 91,4,10.9,49.971
Q7Z6B7,Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase-activating protein 1,6,6.3,124.26
Q7Z6E9,Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6,13,9.8,201.56
Q7Z6G3,Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2,4,14.0,43.193
Q7Z6J6,Q7Z6J6,FRMD5,FERM domain-containing protein 5,12,25.1,65.064
Q7Z6J9,Q7Z6J9,TSEN54,tRNA-splicing endonuclease subunit Sen54,2,5.7,58.819
Q7Z6K3,Q7Z6K3,PTAR1,Protein prenyltransferase alpha subunit repeat-containing protein 1,2,7.5,46.405
Q7Z6K5,Q7Z6K5,ARPIN,Arpin,6,34.1,24.943
Q7Z6L0,Q7Z6L0,PRRT2,Proline-rich transmembrane protein 2,4,33.5,34.945
Q7Z6L1,Q7Z6L1,TECPR1,Tectonin beta-propeller repeat-containing protein 1,4,6.1,129.69
Q7Z6M1,Q7Z6M1,RABEPK,Rab9 effector protein with kelch motifs,2,9.7,40.564
Q7Z6M4,Q7Z6M4,MTERF4,"Transcription termination factor 4, mitochondrial;mTERF domain-containing protein 2 processed",2,5.2,43.957
Q7Z6Z7,Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1,56,16.7,481.89
Q7Z739,Q7Z739,YTHDF3,YTH domain-containing family protein 3,9,19.8,63.86
Q7Z7A1,Q7Z7A1,CNTRL,Centriolin,3,1.9,268.88
Q7Z7B0,Q7Z7B0,FILIP1,Filamin-A-interacting protein 1,3,2.7,138.11
Q7Z7E8;Q8WVN8,Q7Z7E8;Q8WVN8,UBE2Q1;UBE2Q2,Ubiquitin-conjugating enzyme E2 Q1;Ubiquitin-conjugating enzyme E2 Q2,4,10.4,46.126
Q7Z7F0,Q7Z7F0,KIAA0907,UPF0469 protein KIAA0907,2,6.5,64.845
Q7Z7F7,Q7Z7F7,MRPL55,"39S ribosomal protein L55, mitochondrial",2,18.8,15.128
Q7Z7G8,Q7Z7G8,VPS13B,Vacuolar protein sorting-associated protein 13B,1,0.4,448.66
Q7Z7H5,Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,7,27.8,25.943
Q7Z7H8,Q7Z7H8,MRPL10,"39S ribosomal protein L10, mitochondrial",5,21.5,29.282
Q7Z7K0,Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog,2,27.4,12.49
Q7Z7K6,Q7Z7K6,CENPV,Centromere protein V,8,38.5,29.946
Q86SE5,Q86SE5,RALYL,RNA-binding Raly-like protein,2,8.2,32.33
Q86SF2,Q86SF2,GALNT7,N-acetylgalactosaminyltransferase 7,7,13.9,75.388
Q86SK9,Q86SK9,SCD5,Stearoyl-CoA desaturase 5,1,3.9,37.61
Q86SX6,Q86SX6,GLRX5,"Glutaredoxin-related protein 5, mitochondrial",3,30.6,16.628
Q86SZ2,Q86SZ2,TRAPPC6B,Trafficking protein particle complex subunit 6B,4,24.7,17.983
Q86T03,Q86T03,TMEM55B,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",4,16.6,29.469
Q86T24,Q86T24,ZBTB33,Transcriptional regulator Kaiso,1,1.9,74.484
Q86TG7,Q86TG7,PEG10,Retrotransposon-derived protein PEG10,14,26.6,80.172
Q86TI2,Q86TI2,DPP9,Dipeptidyl peptidase 9,7,10.7,98.262
Q86TN4,Q86TN4,TRPT1,tRNA 2-phosphotransferase 1,1,7.5,27.742
Q86TP1,Q86TP1,PRUNE,Protein prune homolog,5,13.5,50.199
Q86TU7,Q86TU7,SETD3,Histone-lysine N-methyltransferase setd3,8,13.8,67.256
Q86TV6,Q86TV6,TTC7B,Tetratricopeptide repeat protein 7B,2,3.4,94.178
Q86TW2,Q86TW2,ADCK1,Uncharacterized aarF domain-containing protein kinase 1,1,2.5,60.577
Q86TX2;P49753,Q86TX2;P49753,ACOT1;ACOT2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",8,24.7,46.277
Q86U06,Q86U06,RBM23,Probable RNA-binding protein 23,3,8.4,48.73
Q86U28,Q86U28,ISCA2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",4,32.5,16.476
Q86U38,Q86U38,NOP9,Nucleolar protein 9,5,9.0,69.437
Q86U42,Q86U42,PABPN1,Polyadenylate-binding protein 2,8,39.2,32.749
Q86U44,Q86U44,METTL3,N6-adenosine-methyltransferase 70 kDa subunit,11,27.4,64.473
Q86U70;O43679,Q86U70,LDB1,LIM domain-binding protein 1,4,13.6,46.532
Q86U86,Q86U86,PBRM1,Protein polybromo-1,27,18.6,192.95
Q86U90,Q86U90,YRDC,"YrdC domain-containing protein, mitochondrial",4,17.6,29.328
Q86UA1,Q86UA1,PRPF39,Pre-mRNA-processing factor 39,5,8.8,78.429
Q86UA6,Q86UA6,RPAIN,RPA-interacting protein,2,15.1,24.77
Q86UE4,Q86UE4,MTDH,Protein LYRIC,14,31.4,63.836
Q86UK7,Q86UK7,ZNF598,Zinc finger protein 598,3,5.2,98.636
Q86UL3,Q86UL3,AGPAT6,Glycerol-3-phosphate acyltransferase 4,3,8.1,52.07
Q86UL8,Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",6,4.9,158.75
Q86UP2,Q86UP2,KTN1,Kinectin,59,51.4,156.27
Q86US8,Q86US8,SMG6,Telomerase-binding protein EST1A,5,4.6,160.46
Q86UT6,Q86UT6,NLRX1,NLR family member X1,2,1.9,107.61
Q86UU1,Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1,5,4.5,151.16
Q86UV5,Q86UV5,USP48,Ubiquitin carboxyl-terminal hydrolase 48,13,16.1,119.03
Q86UW6,Q86UW6,N4BP2,NEDD4-binding protein 2,5,4.4,198.8
Q86UW7,Q86UW7,CADPS2,Calcium-dependent secretion activator 2,7,6.2,147.73
Q86UX2,Q86UX2,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,5,6.4,104.58
Q86UX6,Q86UX6,STK32C,Serine/threonine-protein kinase 32C,1,2.5,54.994
Q86UY6,Q86UY6,NAA40,N-alpha-acetyltransferase 40,2,8.0,27.194
Q86UY8,Q86UY8,NT5DC3,5-nucleotidase domain-containing protein 3,4,8.0,63.419
Q86V21,Q86V21,AACS,Acetoacetyl-CoA synthetase,3,4.3,75.143
Q86V35,Q86V35,CABP7,Calcium-binding protein 7,2,13.0,24.453
Q86V48,Q86V48,LUZP1,Leucine zipper protein 1,7,7.9,120.27
Q86V59,Q86V59,PNMAL1,PNMA-like protein 1,1,3.2,48.16
Q86V81,Q86V81,ALYREF,THO complex subunit 4,6,25.3,26.888
Q86V87,Q86V87,FAM160B2,Protein FAM160B2,3,4.6,82.339
Q86VI3,Q86VI3,IQGAP3,Ras GTPase-activating-like protein IQGAP3,3,1.8,184.7
Q86VM9,Q86VM9,ZC3H18,Zinc finger CCCH domain-containing protein 18,4,9.3,106.38
Q86VN1,Q86VN1,VPS36,Vacuolar protein-sorting-associated protein 36,7,21.5,43.816
Q86VP3,Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2,6,7.4,97.701
Q86VP6,Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,45,38.9,136.37
Q86VQ1,Q86VQ1,GLCCI1,Glucocorticoid-induced transcript 1 protein,2,4.9,58.023
Q86VQ3,Q86VQ3,TXNDC2,Thioredoxin domain-containing protein 2,1,1.6,60.403
Q86VR2,Q86VR2,FAM134C,Protein FAM134C,1,4.1,51.396
Q86VS8,Q86VS8,HOOK3,Protein Hook homolog 3,11,18.9,83.125
Q86VV8,Q86VV8,RTTN,Rotatin,2,0.8,248.63
Q86VW0,Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,6,11.1,79.347
Q86W42,Q86W42,THOC6,THO complex subunit 6 homolog,7,33.7,37.535
Q86W50,Q86W50,METTL16,Methyltransferase-like protein 16,8,19.9,63.62
Q86W56,Q86W56,PARG,Poly(ADP-ribose) glycohydrolase,5,7.0,111.11
Q86W74,Q86W74,ANKRD46,Ankyrin repeat domain-containing protein 46,1,6.9,25.966
Q86W92;Q8ND30,Q86W92,PPFIBP1,Liprin-beta-1,9,10.2,114.02
Q86WA6,Q86WA6,BPHL,Valacyclovir hydrolase,9,27.8,32.542
Q86WA8,Q86WA8,LONP2,"Lon protease homolog 2, peroxisomal",5,6.8,94.615
Q86WB0,Q86WB0,ZC3HC1,Nuclear-interacting partner of ALK,5,12.5,55.261
Q86WC4,Q86WC4,OSTM1,Osteopetrosis-associated transmembrane protein 1,2,7.8,37.256
Q86WG5,Q86WG5,SBF2,Myotubularin-related protein 13,11,8.0,208.46
Q86WJ1,Q86WJ1,CHD1L,Chromodomain-helicase-DNA-binding protein 1-like,7,9.0,101.0
Q86WK6,Q86WK6,AMIGO1,Amphoterin-induced protein 1,1,2.0,55.239
Q86WQ0,Q86WQ0,NR2C2AP,Nuclear receptor 2C2-associated protein,3,36.0,15.876
Q86WR0,Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,6,33.7,24.479
Q86WT1;Q8N4P2,Q86WT1;Q8N4P2,TTC30A;TTC30B,Tetratricopeptide repeat protein 30A;Tetratricopeptide repeat protein 30B,2,3.3,76.135
Q86WW8,Q86WW8,COA5,Cytochrome c oxidase assembly factor 5,2,33.8,8.3755
Q86X10,Q86X10,RALGAPB,Ral GTPase-activating protein subunit beta,7,6.0,166.8
Q86X27,Q86X27,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2,8,20.2,65.166
Q86X55,Q86X55,CARM1,Histone-arginine methyltransferase CARM1,13,33.1,65.853
Q86X76,Q86X76,NIT1,Nitrilase homolog 1,7,31.8,35.896
Q86X83,Q86X83,COMMD2,COMM domain-containing protein 2,3,20.6,22.745
Q86X95,Q86X95,CIR1,Corepressor interacting with RBPJ 1,1,3.3,52.313
Q86XA9,Q86XA9,HEATR5A,HEAT repeat-containing protein 5A,6,3.6,222.0
Q86XL3,Q86XL3,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,12,17.5,104.11
Q86XN7,Q86XN7,PROSER1,Proline and serine-rich protein 1,1,1.1,95.697
Q86XP3,Q86XP3,DDX42,ATP-dependent RNA helicase DDX42,19,30.5,102.97
Q86XZ4,Q86XZ4,SPATS2,Spermatogenesis-associated serine-rich protein 2,5,8.6,59.544
Q86Y13,Q86Y13,DZIP3,E3 ubiquitin-protein ligase DZIP3,2,1.3,138.6
Q86Y37,Q86Y37,CACUL1,CDK2-associated and cullin domain-containing protein 1,3,10.8,41.063
Q86Y39,Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,2,24.1,14.852
Q86Y56,Q86Y56,DNAAF5,"Dynein assembly factor 5, axonemal",4,4.3,93.52
Q86Y79,Q86Y79,PTRH1,Probable peptidyl-tRNA hydrolase,1,6.1,22.936
Q86Y82,Q86Y82,STX12,Syntaxin-12,7,29.7,31.642
Q86YB8,Q86YB8,ERO1LB,ERO1-like protein beta,2,4.7,53.543
Q86YM7,Q86YM7,HOMER1,Homer protein homolog 1,3,9.6,40.276
Q86YP4,Q86YP4,GATAD2A,Transcriptional repressor p66-alpha,12,30.5,68.062
Q86YQ8,Q86YQ8,CPNE8,Copine-8,3,5.5,63.107
Q86YR5,Q86YR5,GPSM1,G-protein-signaling modulator 1,4,12.1,74.509
Q86YS6,Q86YS6,RAB43,Ras-related protein Rab-43,1,9.0,23.339
Q86YS7,Q86YS7,C2CD5,C2 domain-containing protein 5,6,7.3,110.45
Q86YT6,Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1,6,9.1,110.13
Q86YV9,Q86YV9,HPS6,Hermansky-Pudlak syndrome 6 protein,1,1.5,82.974
Q8IU81,Q8IU81,IRF2BP1,Interferon regulatory factor 2-binding protein 1,6,16.1,61.687
Q8IU85,Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,8,26.8,42.913
Q8IUC4;A8MT19,Q8IUC4,RHPN2,Rhophilin-2,11,19.4,76.992
Q8IUD2,Q8IUD2,ERC1,ELKS/Rab6-interacting/CAST family member 1,15,17.0,128.08
Q8IUE6,Q8IUE6,HIST2H2AB,Histone H2A type 2-B,3,20.0,13.995
Q9BRT8;Q8IUF1;Q5RIA9;Q5JTY5;Q4V339,Q9BRT8;Q8IUF1;Q5RIA9;Q5JTY5;Q4V339,CBWD1;CBWD2;CBWD5;CBWD3;CBWD6,COBW domain-containing protein 1;COBW domain-containing protein 2;COBW domain-containing protein 5;COBW domain-containing protein 3;COBW domain-containing protein 6,4,12.2,44.068
Q8IUF8,Q8IUF8,MINA,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,2,4.3,52.8
Q8IUH3,Q8IUH3,RBM45,RNA-binding protein 45,2,4.2,53.502
Q8IUH4,Q8IUH4,ZDHHC13,Palmitoyltransferase ZDHHC13,5,10.3,70.86
Q8IUH5,Q8IUH5,ZDHHC17,Palmitoyltransferase ZDHHC17,2,4.3,72.639
Q8IUR0,Q8IUR0,TRAPPC5,Trafficking protein particle complex subunit 5,2,9.0,20.783
Q8IUR7,Q8IUR7,ARMC8,Armadillo repeat-containing protein 8,8,13.8,75.509
Q8IUX7,Q8IUX7,AEBP1,Adipocyte enhancer-binding protein 1,3,3.4,130.93
Q8IUZ5,Q8IUZ5,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,3,6.9,49.71
Q8IV08,Q8IV08,PLD3,Phospholipase D3,8,20.6,54.705
Q8IV32,Q8IV32,CCDC71,Coiled-coil domain-containing protein 71,3,7.7,49.648
Q8IV36,Q8IV36,HID1,Protein HID1,4,8.6,88.743
Q8IV38,Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,9,29.9,49.298
Q8IV48,Q8IV48,ERI1,3-5 exoribonuclease 1,6,18.9,40.063
Q8IVD9,Q8IVD9,NUDCD3,NudC domain-containing protein 3,6,24.4,40.822
Q8IVF2,Q8IVF2,AHNAK2,Protein AHNAK2,66,29.2,616.62
Q8IVH2,Q8IVH2,FOXP4,Forkhead box protein P4,3,7.6,73.488
Q8IVH4,Q8IVH4,MMAA,"Methylmalonic aciduria type A protein, mitochondrial",5,15.3,46.538
Q8IVL1;Q8IVL0,Q8IVL1,NAV2,Neuron navigator 2,3,1.8,268.16
Q8IVM0,Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,3,15.7,35.822
Q8IVS2,Q8IVS2,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",3,8.2,42.961
Q8IVT5,Q8IVT5,KSR1,Kinase suppressor of Ras 1,4,5.3,102.16
Q8IVU1,Q8IVU1,IGDCC3,Immunoglobulin superfamily DCC subclass member 3,3,4.9,86.723
Q8IVW6,Q8IVW6,ARID3B,AT-rich interactive domain-containing protein 3B,3,8.2,60.636
Q8IW35,Q8IW35,CEP97,Centrosomal protein of 97 kDa,6,11.2,96.98
Q8IW45,Q8IW45,CARKD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,9,42.9,36.576
Q8IW50,Q8IW50,FAM219A,Protein FAM219A,2,17.3,20.399
Q8IWA0,Q8IWA0,WDR75,WD repeat-containing protein 75,8,13.7,94.498
Q8IWA4,Q8IWA4,MFN1,Mitofusin-1,7,11.3,84.159
Q8IWA5,Q8IWA5,SLC44A2,Choline transporter-like protein 2,11,14.3,80.123
Q8IWB1,Q8IWB1,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",3,6.4,62.059
Q8IWB7,Q8IWB7,WDFY1,WD repeat and FYVE domain-containing protein 1,8,25.4,46.323
Q8IWB9,Q8IWB9,TEX2,Testis-expressed sequence 2 protein,18,20.2,125.3
Q8IWC1,Q8IWC1,MAP7D3,MAP7 domain-containing protein 3,3,3.5,98.428
Q8IWE2,Q8IWE2,FAM114A1,Protein NOXP20,9,19.4,60.741
Q8IWE5,Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,2,3.6,112.78
Q8IWI9,Q8IWI9,MGA,MAX gene-associated protein,7,3.4,331.83
Q8IWJ2,Q8IWJ2,GCC2,GRIP and coiled-coil domain-containing protein 2,24,19.0,195.91
Q8IWL3,Q8IWL3,HSCB,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",3,16.6,27.422
Q8IWQ3,Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,5,6.9,81.632
Q8IWR0,Q8IWR0,ZC3H7A,Zinc finger CCCH domain-containing protein 7A,6,6.6,110.54
Q8IWS0,Q8IWS0,PHF6,PHD finger protein 6,12,46.6,41.29
Q8IWT6,Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A,3,4.9,94.198
Q8IWU5,Q8IWU5,SULF2,Extracellular sulfatase Sulf-2,12,15.1,100.45
Q8IWU6,Q8IWU6,SULF1,Extracellular sulfatase Sulf-1,5,5.9,101.03
Q8IWU9;P17752,Q8IWU9,TPH2,Tryptophan 5-hydroxylase 2,3,7.8,56.056
Q8IWV7,Q8IWV7,UBR1,E3 ubiquitin-protein ligase UBR1,16,12.8,200.21
Q8IWV8,Q8IWV8,UBR2,E3 ubiquitin-protein ligase UBR2,3,2.0,200.54
Q8IWW6,Q8IWW6,ARHGAP12,Rho GTPase-activating protein 12,6,10.0,96.253
Q8IWX8,Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein,12,16.6,103.7
Q8IWY4;Q9NQ36,Q8IWY4,SCUBE1,"Signal peptide, CUB and EGF-like domain-containing protein 1",5,5.6,107.91
Q8IWZ3,Q8IWZ3,ANKHD1,Ankyrin repeat and KH domain-containing protein 1,18,9.6,269.45
Q8IWZ6,Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein,5,7.1,80.352
Q8IWZ8,Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1,5,11.2,72.47
Q8IX01,Q8IX01,SUGP2,SURP and G-patch domain-containing protein 2,30,35.4,120.21
Q8IX03,Q8IX03,WWC1,Protein KIBRA,2,2.7,125.3
Q8IX04,Q8IX04,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3,5,12.3,52.263
Q8IX12,Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1,18,18.7,132.82
Q8IX18,Q8IX18,DHX40,Probable ATP-dependent RNA helicase DHX40,3,4.5,88.559
Q8IX30,Q8IX30,SCUBE3,"Signal peptide, CUB and EGF-like domain-containing protein 3",6,7.2,109.28
Q8IX90,Q8IX90,SKA3,Spindle and kinetochore-associated protein 3,5,14.8,46.359
Q8IXB1,Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,14,21.4,91.079
Q8IXF0,Q8IXF0,NPAS3,Neuronal PAS domain-containing protein 3,2,3.1,100.8
Q8IXH6,Q8IXH6,TP53INP2,Tumor protein p53-inducible nuclear protein 2,1,5.5,23.98
Q8IXH7,Q8IXH7,NELFCD,Negative elongation factor C/D,8,17.5,66.246
Q8IXI1,Q8IXI1,RHOT2,Mitochondrial Rho GTPase 2,9,23.3,68.117
Q8IXI2,Q8IXI2,RHOT1,Mitochondrial Rho GTPase 1,14,28.0,70.783
Q8IXJ6,Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,5,20.6,43.182
Q8IXK0,Q8IXK0,PHC2,Polyhomeotic-like protein 2,7,9.7,90.712
Q8IXM2,Q8IXM2,BAP18,Chromatin complexes subunit BAP18,8,60.5,17.9
Q8IXM3,Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial",5,38.7,15.383
Q8IXM6,Q8IXM6,NRM,Nurim,1,6.1,29.379
Q8IXQ4,Q8IXQ4,GPALPP1,GPALPP motifs-containing protein 1,2,7.4,38.141
Q8IXQ5,Q8IXQ5,KLHL7,Kelch-like protein 7,4,7.8,65.991
Q8IXQ6,Q8IXQ6,PARP9,Poly [ADP-ribose] polymerase 9,7,9.8,96.342
Q8IXT5,Q8IXT5,RBM12B,RNA-binding protein 12B,14,14.2,118.1
Q8IXU6,Q8IXU6,SLC35F2,Solute carrier family 35 member F2,1,3.5,41.211
Q8IXV7,Q8IXV7,KLHDC8B,Kelch domain-containing protein 8B,1,4.0,37.676
Q8IXW5,Q8IXW5,RPAP2,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2,4,7.0,69.508
Q8IXZ3,Q8IXZ3,SP8,Transcription factor Sp8,3,11.4,48.674
Q8IY17;Q6ZV29,Q8IY17,PNPLA6,Neuropathy target esterase,9,7.9,150.95
Q8IY18,Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,9,9.4,128.81
Q8IY21,Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,7,4.1,197.85
Q8IY22,Q8IY22,CMIP,C-Maf-inducing protein,6,10.0,86.33
Q8IY37,Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37,6,6.9,129.54
Q8IY45,Q8IY45,AMN1,Protein AMN1 homolog,1,5.8,28.408
Q8IY47,Q8IY47,KBTBD2,Kelch repeat and BTB domain-containing protein 2,1,3.4,71.33
Q8IY67,Q8IY67,RAVER1,Ribonucleoprotein PTB-binding 1,4,11.4,63.876
Q8IY81,Q8IY81,FTSJ3,pre-rRNA processing protein FTSJ3,13,22.2,96.557
Q8IY95,Q8IY95,TMEM192,Transmembrane protein 192,4,17.3,30.922
Q8IYA8,Q8IYA8,CCDC36,Coiled-coil domain-containing protein 36,1,1.5,66.342
Q8IYB3,Q8IYB3,SRRM1,Serine/arginine repetitive matrix protein 1,11,15.4,102.33
Q8IYB5,Q8IYB5,SMAP1,Stromal membrane-associated protein 1,2,8.8,50.386
Q8IYB7,Q8IYB7,DIS3L2,DIS3-like exonuclease 2,13,18.0,99.278
Q8IYB8,Q8IYB8,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",14,22.4,87.99
Q8IYD1,Q8IYD1,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,19,39.6,68.882
Q8IYD8,Q8IYD8,FANCM,Fanconi anemia group M protein,1,0.4,232.19
Q8IYI6,Q8IYI6,EXOC8,Exocyst complex component 8,12,20.1,81.798
Q8IYK4,Q8IYK4,COLGALT2,Procollagen galactosyltransferase 2,2,5.3,72.923
Q8IYK8,Q8IYK8,REM2,GTP-binding protein REM 2,2,5.3,37.138
Q8IYM9,Q8IYM9,TRIM22,E3 ubiquitin-protein ligase TRIM22,1,2.8,56.947
Q8IYQ7,Q8IYQ7,THNSL1,Threonine synthase-like 1,13,23.1,83.069
Q8IYR6,Q8IYR6,TMEFF1,Tomoregulin-1,2,9.2,40.934
Q8IYT4,Q8IYT4,KATNAL2,Katanin p60 ATPase-containing subunit A-like 2,1,2.2,61.252
Q8IYU8,Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial",4,13.8,49.666
Q8IZ07;Q6ZTN6,Q8IZ07,ANKRD13A,Ankyrin repeat domain-containing protein 13A,3,7.3,67.618
Q8IZ21,Q8IZ21,PHACTR4,Phosphatase and actin regulator 4,3,6.7,78.21
Q8IZ40,Q8IZ40,RCOR2,REST corepressor 2,10,26.8,58.011
Q8IZ69,Q8IZ69,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,6,11.5,68.725
Q8IZ73,Q8IZ73,RPUSD2,RNA pseudouridylate synthase domain-containing protein 2,3,6.8,61.311
Q8IZ81,Q8IZ81,ELMOD2,ELMO domain-containing protein 2,3,9.9,34.96
Q8IZ83,Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,6,7.5,85.126
Q8IZA0,Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,12,13.0,115.66
Q8IZD4,Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,4,8.9,67.722
Q8IZH2,Q8IZH2,XRN1,5-3 exoribonuclease 1,2,1.2,194.1
Q8IZL8,Q8IZL8,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1",10,13.6,119.7
Q8IZP0,Q8IZP0,ABI1,Abl interactor 1,7,18.9,55.08
Q8IZQ1,Q8IZQ1,WDFY3,WD repeat and FYVE domain-containing protein 3,6,2.2,395.25
Q8IZQ5,Q8IZQ5,SELH,Selenoprotein H,4,34.4,13.453
Q8N0U8,Q8N0U8,VKORC1L1,Vitamin K epoxide reductase complex subunit 1-like protein 1,1,5.7,19.835
Q8N0V3,Q8N0V3,RBFA,"Putative ribosome-binding factor A, mitochondrial",1,3.2,38.359
Q8N0V5,Q8N0V5,GCNT2,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A",2,6.2,45.873
Q8N0W3,Q8N0W3,FUK,L-fucose kinase,4,4.3,117.62
Q8N0W4;Q8NFZ3,Q8N0W4;Q8NFZ3,NLGN4X;NLGN4Y,"Neuroligin-4, X-linked;Neuroligin-4, Y-linked",5,7.8,91.914
Q8N0X4,Q8N0X4,CLYBL,"Citrate lyase subunit beta-like protein, mitochondrial",6,24.1,37.359
Q8N0X7,Q8N0X7,SPG20,Spartin,14,24.0,72.832
Q8N0Z3,Q8N0Z3,SPICE1,Spindle and centriole-associated protein 1,1,1.1,96.263
