Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
Q8IWA4,MFN1,Mitofusin-1,5351400,6508800,5289700,7642700,8125600,7610800
Q8IWA5,SLC44A2,Choline transporter-like protein 2,64368000,64528000,72261000,60743000,59927000,58869000
Q8IWB1,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",0,0,4395700,0,0,0
Q8IWB7,WDFY1,WD repeat and FYVE domain-containing protein 1,29362000,31146000,30053000,26795000,26846000,25130000
Q8IWB9,TEX2,Testis-expressed sequence 2 protein,50596000,31088000,30796000,3319800,3743100,2194000
Q8IWC1,MAP7D3,MAP7 domain-containing protein 3,1097000,1211100,0,0,0,0
Q8IWE2,FAM114A1,Protein NOXP20,29596000,26134000,23074000,4758900,4888300,2229400
Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,2641000,1925200,0,0,0,0
Q8IWI9,MGA,MAX gene-associated protein,0,2193400,1648100,7388200,6116600,5592100
Q8IWJ2,GCC2,GRIP and coiled-coil domain-containing protein 2,17598000,18703000,15326000,11023000,13236000,9156700
Q8IWL3,HSCB,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",2594200,2676200,2150300,0,0,2094400
Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,2818000,2432600,1457300,8881900,7698200,3441700
Q8IWR0,ZC3H7A,Zinc finger CCCH domain-containing protein 7A,5018000,4633200,6298500,4913800,5439800,5550600
Q8IWS0,PHF6,PHD finger protein 6,27237000,32070000,35974000,79139000,76995000,77873000
Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A,0,0,2494500,0,0,0
Q8IWU5,SULF2,Extracellular sulfatase Sulf-2,78619000,97757000,69286000,25658000,22133000,26916000
Q8IWU6,SULF1,Extracellular sulfatase Sulf-1,17374000,18891000,22991000,0,0,0
Q8IWU9;P17752,TPH2,Tryptophan 5-hydroxylase 2,5888900,3357600,0,0,0,0
Q8IWV7,UBR1,E3 ubiquitin-protein ligase UBR1,20759000,19025000,16946000,11339000,18825000,10617000
Q8IWV8,UBR2,E3 ubiquitin-protein ligase UBR2,1806000,0,0,0,1195700,0
Q8IWW6,ARHGAP12,Rho GTPase-activating protein 12,13053000,11875000,10702000,7884400,8045900,0
Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein,32038000,36474000,38469000,65142000,62074000,66622000
Q8IWY4;Q9NQ36,SCUBE1,"Signal peptide, CUB and EGF-like domain-containing protein 1",0,0,0,11178000,11143000,6710500
Q8IWZ3,ANKHD1,Ankyrin repeat and KH domain-containing protein 1,3014200,3869800,3837600,4684400,3475100,4510300
Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein,0,0,8002100,0,0,0
Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1,0,3509100,3059400,3674300,4079700,2884600
Q8IX01,SUGP2,SURP and G-patch domain-containing protein 2,90252000,85695000,99211000,156400000,155660000,169520000
Q8IX03,WWC1,Protein KIBRA,0,1645100,0,1162200,0,0
Q8IX04,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3,6128600,6103900,6298500,0,3688000,3555600
Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1,39439000,47826000,50526000,72592000,74267000,83418000
Q8IX18,DHX40,Probable ATP-dependent RNA helicase DHX40,0,2412300,1916400,0,0,0
Q8IX30,SCUBE3,"Signal peptide, CUB and EGF-like domain-containing protein 3",2025900,0,2261000,4793000,3725500,6254700
Q8IX90,SKA3,Spindle and kinetochore-associated protein 3,0,0,0,3724900,4368500,2879600
Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,56356000,60403000,60450000,38802000,31665000,34799000
Q8IXF0,NPAS3,Neuronal PAS domain-containing protein 3,1715600,2529200,0,0,0,0
Q8IXH6,TP53INP2,Tumor protein p53-inducible nuclear protein 2,0,0,0,0,0,567950
Q8IXH7,NELFCD,Negative elongation factor C/D,9408200,9164400,7250600,15457000,18950000,15003000
Q8IXI1,RHOT2,Mitochondrial Rho GTPase 2,32540000,40488000,34902000,38512000,38551000,37190000
Q8IXI2,RHOT1,Mitochondrial Rho GTPase 1,56054000,63281000,55071000,72333000,79938000,80682000
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,0,20136000,11211000,16955000,14786000,19903000
Q8IXK0,PHC2,Polyhomeotic-like protein 2,6073000,4691500,3873600,13108000,10524000,12188000
Q8IXM2,BAP18,Chromatin complexes subunit BAP18,26193000,32443000,29549000,62691000,65068000,54888000
Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial",37754000,44438000,28064000,51982000,50587000,48829000
Q8IXM6,NRM,Nurim,0,0,0,0,0,1297400
Q8IXQ4,GPALPP1,GPALPP motifs-containing protein 1,3523400,3342900,3543400,0,0,4480100
Q8IXQ5,KLHL7,Kelch-like protein 7,0,2508300,0,3239500,5056200,2911900
Q8IXQ6,PARP9,Poly [ADP-ribose] polymerase 9,4360300,4301500,4597000,0,0,0
Q8IXT5,RBM12B,RNA-binding protein 12B,22012000,26105000,34417000,53530000,44504000,50058000
Q8IXU6,SLC35F2,Solute carrier family 35 member F2,0,0,0,0,0,2199200
Q8IXV7,KLHDC8B,Kelch domain-containing protein 8B,0,0,0,0,0,554280
Q8IXW5,RPAP2,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2,3472800,4299100,3338400,2462700,1875500,2975100
Q8IXZ3,SP8,Transcription factor Sp8,0,0,0,2820100,3459500,3398600
Q8IY17;Q6ZV29,PNPLA6,Neuropathy target esterase,12362000,13265000,15535000,7193900,9823400,7856000
Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,5153900,4635900,4951000,15074000,11992000,13158000
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,1392600,1816200,0,1587100,2915900,1833500
Q8IY22,CMIP,C-Maf-inducing protein,28943000,43467000,36999000,12878000,11154000,10079000
Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37,0,2435200,1935000,6124200,7220600,5458500
Q8IY45,AMN1,Protein AMN1 homolog,0,738390,0,0,0,0
Q8IY47,KBTBD2,Kelch repeat and BTB domain-containing protein 2,0,0,0,0,0,2586200
Q8IY67,RAVER1,Ribonucleoprotein PTB-binding 1,9154300,10408000,8631400,13214000,12420000,12333000
Q8IY81,FTSJ3,pre-rRNA processing protein FTSJ3,37784000,38536000,43228000,73134000,68550000,80900000
Q8IY95,TMEM192,Transmembrane protein 192,29438000,30175000,38573000,15098000,16160000,15560000
Q8IYA8,CCDC36,Coiled-coil domain-containing protein 36,0,0,0,0,18193000,0
Q8IYB3,SRRM1,Serine/arginine repetitive matrix protein 1,67188000,67801000,55836000,129970000,115280000,111070000
Q8IYB5,SMAP1,Stromal membrane-associated protein 1,5352900,4938700,4956300,2650100,2588200,3633500
Q8IYB7,DIS3L2,DIS3-like exonuclease 2,10051000,10313000,7784800,11582000,13866000,14862000
Q8IYB8,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",8598500,8235900,9817500,9967900,10591000,10196000
Q8IYD1,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,16928000,27287000,14632000,15349000,17934000,11558000
Q8IYD8,FANCM,Fanconi anemia group M protein,0,0,0,0,55528000,0
Q8IYI6,EXOC8,Exocyst complex component 8,24415000,23062000,20436000,20301000,21099000,15959000
Q8IYK4,COLGALT2,Procollagen galactosyltransferase 2,0,0,0,2680700,0,2379800
Q8IYK8,REM2,GTP-binding protein REM 2,0,0,0,0,3352200,3825700
Q8IYM9,TRIM22,E3 ubiquitin-protein ligase TRIM22,0,0,0,0,1556800,0
Q8IYQ7,THNSL1,Threonine synthase-like 1,22178000,25678000,25558000,32367000,32392000,26302000
Q8IYR6,TMEFF1,Tomoregulin-1,0,0,0,1545600,1629000,3173400
Q8IYT4,KATNAL2,Katanin p60 ATPase-containing subunit A-like 2,0,0,0,0,0,55936000
Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial",8346900,9564000,10155000,5155700,4733400,3113100
Q8IZ07;Q6ZTN6,ANKRD13A,Ankyrin repeat domain-containing protein 13A,0,0,0,0,0,813700
Q8IZ21,PHACTR4,Phosphatase and actin regulator 4,5177200,5100200,0,2571900,4586700,0
Q8IZ40,RCOR2,REST corepressor 2,6544400,10077000,7870800,44022000,33871000,34843000
Q8IZ69,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,2821300,3431000,2469000,4677700,5376700,5217900
Q8IZ73,RPUSD2,RNA pseudouridylate synthase domain-containing protein 2,0,0,0,4502800,4582400,3656600
Q8IZ81,ELMOD2,ELMO domain-containing protein 2,14931000,12021000,13139000,18572000,5134100,18733000
Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,3914500,3747100,2695300,2775100,2693800,3789800
Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,11236000,15635000,13379000,17909000,17221000,20711000
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,5379300,0,5173800,0,4894900,6611200
Q8IZH2,XRN1,5-3 exoribonuclease 1,905040,0,0,0,0,1744300
Q8IZL8,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1",20466000,19579000,18205000,43123000,42241000,49214000
Q8IZP0,ABI1,Abl interactor 1,23102000,21225000,16617000,8256400,9398200,7912800
Q8IZQ1,WDFY3,WD repeat and FYVE domain-containing protein 3,0,1389600,1099400,1495700,0,0
Q8IZQ5,SELH,Selenoprotein H,14232000,14825000,17282000,18717000,18080000,15167000
Q8N0U8,VKORC1L1,Vitamin K epoxide reductase complex subunit 1-like protein 1,0,0,0,0,8335400,0
Q8N0V3,RBFA,"Putative ribosome-binding factor A, mitochondrial",0,0,0,0,0,1993000
Q8N0V5,GCNT2,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A",0,0,0,0,1742200,0
Q8N0W3,FUK,L-fucose kinase,5949700,6916000,0,0,0,0
Q8N0W4;Q8NFZ3,NLGN4X;NLGN4Y,"Neuroligin-4, X-linked;Neuroligin-4, Y-linked",4049400,3315000,4052700,2888900,3513200,2795900
Q8N0X4,CLYBL,"Citrate lyase subunit beta-like protein, mitochondrial",6345300,7975000,5896700,13187000,13285000,12354000
Q8N0X7,SPG20,Spartin,56932000,63650000,52770000,28278000,25087000,26938000
Q8N0Z3,SPICE1,Spindle and centriole-associated protein 1,0,0,0,0,634600,0
Q8N0Z6,TTC5,Tetratricopeptide repeat protein 5,7622100,14803000,8632000,11012000,12669000,19279000
Q8N108,MIER1,Mesoderm induction early response protein 1,1901600,2370600,1572600,0,3257900,2662800
Q8N111,CEND1,Cell cycle exit and neuronal differentiation protein 1,5009100,4838800,8534600,4415700,1841900,3843400
Q8N122,RPTOR,Regulatory-associated protein of mTOR,10921000,9951800,8952700,10179000,12130000,7578100
Q8N126,CADM3,Cell adhesion molecule 3,30423000,29443000,39108000,0,0,0
Q8N128,FAM177A1,Protein FAM177A1,13570000,12754000,11738000,7396700,8782000,8403300
Q8N129,CNPY4,Protein canopy homolog 4,19897000,21227000,23429000,6060000,7040100,5691500
Q8N131,TMEM123,Porimin,5209400,5491600,5273400,6424600,6643700,4696100
Q8N142,ADSSL1,Adenylosuccinate synthetase isozyme 1,0,0,0,0,0,660420
Q8N158,GPC2,Glypican-2;Secreted glypican-2,13188000,15511000,14636000,67346000,51942000,58293000
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2,201220000,232140000,244180000,320670000,350220000,326480000
Q8N183,NDUFAF2,"Mimitin, mitochondrial",23892000,31406000,25262000,30422000,34188000,28501000
Q8N1B4,VPS52,Vacuolar protein sorting-associated protein 52 homolog,10984000,11324000,18656000,9217900,10905000,12774000
Q8N1F7,NUP93,Nuclear pore complex protein Nup93,100280000,114450000,111090000,223670000,183540000,196300000
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein,1934700,2095200,3226000,0,0,0
Q8N1G0,ZNF687,Zinc finger protein 687,2642400,3315600,3426200,10324000,8316100,10599000
Q8N1G2,CMTR1,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1,8675700,8528900,8486300,12337000,14108000,15996000
Q8N1G4,LRRC47,Leucine-rich repeat-containing protein 47,164820000,141000000,117080000,176850000,165440000,176890000
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4,2056900,2476400,0,2281500,2663400,0
Q8N1Q1,CA13,Carbonic anhydrase 13,5270200,4782600,2888500,0,0,0
Q8N1S5,SLC39A11,Zinc transporter ZIP11,0,0,0,0,0,523990
Q8N1V2,CFAP52,Cilia- and flagella-associated protein 52,0,0,380880,0,0,0
Q8N201,INTS1,Integrator complex subunit 1,4047200,4691800,4153500,6649800,9819000,6141900
Q8N283,ANKRD35,Ankyrin repeat domain-containing protein 35,0,0,0,0,12561000,0
Q8N2C7,UNC80,Protein unc-80 homolog,24242000,0,0,0,0,0
Q8N2F6,ARMC10,Armadillo repeat-containing protein 10,9407100,7074200,8062700,9308400,7512600,5616200
Q8N2G4,LYPD1,Ly6/PLAUR domain-containing protein 1,8064800,9961200,6564600,0,0,0
Q8N2G8,GHDC,GH3 domain-containing protein,2658100,2459800,3490300,2516500,0,3735500
Q8N2H3,PYROXD2,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,0,0,936490,0,0,0
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,17476000,17605000,21036000,13594000,13437000,14513000
Q8N2K1,UBE2J2,Ubiquitin-conjugating enzyme E2 J2,0,0,0,3239100,0,0
Q8N2M8,CLASRP,CLK4-associating serine/arginine rich protein,0,0,0,0,0,0
Q8N2U0,TMEM256,Transmembrane protein 256,0,0,15724000,0,0,0
Q8N2W9,PIAS4,E3 SUMO-protein ligase PIAS4,0,0,0,784540,0,0
Q8N335,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein,12115000,8982000,9447000,11847000,10229000,12105000
Q8N350,DOS,Protein Dos,936500000,1237700000,946610000,447690000,456080000,345500000
Q8N357,SLC35F6,Solute carrier family 35 member F6,0,0,31854000,0,0,0
Q8N394,TMTC2,Transmembrane and TPR repeat-containing protein 2,3265200,2535900,2909600,2317400,0,2013000
Q8N3C0,ASCC3,Activating signal cointegrator 1 complex subunit 3,17057000,16307000,15470000,24420000,25023000,21366000
Q8N3D4,EHBP1L1,EH domain-binding protein 1-like protein 1,0,0,0,0,0,271170
Q8N3E9,PLCD3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",5387100,4969000,4146100,2089100,0,0
Q8N3F0,MTURN,Maturin,0,0,2676200,0,0,0
Q8N3F8,MICALL1,MICAL-like protein 1,4068600,5126000,4522000,5984100,4595500,5103200
Q8N3J6,CADM2,Cell adhesion molecule 2,1710600,2921100,1460300,2582500,2526900,2389200
Q8N3P4,VPS8,Vacuolar protein sorting-associated protein 8 homolog,3525000,2463000,2892700,2780800,2772400,2785100
Q8N3R9,MPP5,MAGUK p55 subfamily member 5,2725500,3810800,8623200,3443800,2956600,4628800
Q8N3U4;Q8WVM7,STAG2,Cohesin subunit SA-2,0,6641800,7085900,14532000,11250000,10987000
Q8N3V7,SYNPO,Synaptopodin,38554000,50879000,51016000,0,0,0
Q8N3X1,FNBP4,Formin-binding protein 4,5899200,7970400,6186400,5271800,6359400,8082800
Q8N3Y1,FBXW8,F-box/WD repeat-containing protein 8,2576600,0,0,0,0,0
Q8N3Z3,GTPBP8,GTP-binding protein 8,0,0,1832800,0,2273300,2654800
Q8N412,STPG2,Sperm-tail PG-rich repeat-containing protein 2,0,0,0,0,89433000,0
Q8N414,PGBD5,PiggyBac transposable element-derived protein 5,0,0,0,820760,0,0
Q8N428,GALNT16,Polypeptide N-acetylgalactosaminyltransferase 16,0,2245500,1718800,0,0,0
Q8N442,GUF1,"Translation factor GUF1, mitochondrial",0,4962000,5652600,8004500,9268800,6473800
Q8N465,D2HGDH,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",8736100,10650000,7109000,2410800,3705800,2442100
Q8N474,SFRP1,Secreted frizzled-related protein 1,0,0,0,21084000,20715000,16348000
Q8N488,RYBP,RING1 and YY1-binding protein,0,0,0,0,2088900,0
Q8N490,PNKD,Probable hydrolase PNKD,0,0,0,0,0,774720
Q8N4C8,MINK1,Misshapen-like kinase 1,0,0,0,0,0,565780
Q8N4H5,TOMM5,Mitochondrial import receptor subunit TOM5 homolog,24866000,25071000,15900000,55213000,45647000,43109000
Q8N4L2,TMEM55A,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",5852100,6104400,5240000,2682300,2410600,3913000
Q8N4P3,HDDC3,"Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1",3390200,3657200,3449600,5329600,5450100,5641000
Q8N4Q1,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40,8913100,10891000,13572000,8022800,12911000,8992800
Q8N4S9,MARVELD2,MARVEL domain-containing protein 2,0,0,0,0,0,0
Q8N4T8,CBR4,Carbonyl reductase family member 4,11954000,15785000,12202000,8748000,7337700,0
Q8N4V1,MMGT1,Membrane magnesium transporter 1,0,0,0,0,2359400,0
Q8N511,TMEM199,Transmembrane protein 199,0,0,0,0,0,1838500
Q8N543,OGFOD1,Prolyl 3-hydroxylase OGFOD1,3176200,0,0,3212300,4036400,4348700
Q8N556,AFAP1,Actin filament-associated protein 1,0,8732500,5019500,3042600,5602100,3851600
Q8N568;Q9C098,DCLK2,Serine/threonine-protein kinase DCLK2,48066000,44494000,39820000,35851000,30233000,31399000
Q8N573,OXR1,Oxidation resistance protein 1,5692500,6726300,4289500,5087400,5683600,5196200
Q8N584,TTC39C,Tetratricopeptide repeat protein 39C,0,0,0,0,854110,0
Q8N5C6,SRBD1,S1 RNA-binding domain-containing protein 1,8083900,7624000,8056700,14042000,13934000,11005000
Q8N5C8,TAB3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,0,0,0,0,828490,0
Q8N5F7,NKAP,NF-kappa-B-activating protein,0,0,0,0,0,6816100
Q8N5G0,SMIM20,Small integral membrane protein 20,0,9302200,0,9239000,9380000,8557500
Q8N5G2,TMEM57,Macoilin,798590000,793730000,709150000,748530000,746480000,775310000
Q8N5I4,DHRSX,Dehydrogenase/reductase SDR family member on chromosome X,0,0,0,0,164060,0
Q8N5J2,FAM63A,Protein FAM63A,0,0,0,661200,0,0
Q8N5K1,CISD2,CDGSH iron-sulfur domain-containing protein 2,81523000,80529000,92926000,83945000,77791000,88173000
Q8N5M9,JAGN1,Protein jagunal homolog 1,0,0,0,0,18320000,0
Q8N5N7,MRPL50,"39S ribosomal protein L50, mitochondrial",13165000,17021000,17831000,19914000,22650000,20462000
Q8N5P1,ZC3H8,Zinc finger CCCH domain-containing protein 8,0,0,0,0,1364100,0
Q8N5Y8,PARP16,Mono [ADP-ribose] polymerase PARP16,0,0,0,0,0,779120
Q8N653,LZTR1,Leucine-zipper-like transcriptional regulator 1,0,0,0,0,0,633460
Q8N668,COMMD1,COMM domain-containing protein 1,0,0,0,0,0,1077200
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,27227000,34645000,30207000,48084000,41140000,51016000
Q8N6C5,IGSF1,Immunoglobulin superfamily member 1,0,0,0,0,0,3035800
Q8N6G6,ADAMTSL1,ADAMTS-like protein 1,0,3068600,0,2492900,0,0
Q8N6H7,ARFGAP2,ADP-ribosylation factor GTPase-activating protein 2,8811500,7591900,7434800,7692300,8524700,7794200
Q8N6L1,KRTCAP2,Keratinocyte-associated protein 2,4660300,0,0,0,0,0
Q8N6M0,OTUD6B,OTU domain-containing protein 6B,10881000,11480000,8896000,10304000,15343000,10009000
Q8N6N3,C1orf52,UPF0690 protein C1orf52,0,0,1132800,1001400,0,0
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,2151300,2107800,0,2385700,2070300,3204800
Q8N6R0,METTL13,Methyltransferase-like protein 13,11081000,14575000,9024800,15394000,16127000,16044000
Q8N6T3,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1,15318000,14439000,10869000,13457000,15483000,9247000
Q8N6T7,SIRT6,NAD-dependent protein deacetylase sirtuin-6,0,0,0,0,0,1180400
Q8N6W0;Q9BZC1,CELF5;CELF4,CUGBP Elav-like family member 5;CUGBP Elav-like family member 4,8559400,4970600,4536700,6939200,3229400,6195800
Q8N755,PQLC3,PQ-loop repeat-containing protein 3,0,0,0,0,0,1646500
Q8N766,EMC1,ER membrane protein complex subunit 1,74839000,88588000,89564000,96911000,91145000,83672000
Q8N7H5,PAF1,RNA polymerase II-associated factor 1 homolog,17642000,16558000,18270000,25742000,34822000,24424000
Q8N806,UBR7,Putative E3 ubiquitin-protein ligase UBR7,2892500,0,2811000,4120400,5251800,4431300
Q8N8A2,ANKRD44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,362170,0,0,0,0,0
Q8N8A6,DDX51,ATP-dependent RNA helicase DDX51,6752800,0,10771000,15067000,17073000,17235000
Q8N8E3,CEP112,Centrosomal protein of 112 kDa,0,0,852200,0,0,0
Q8N8K9,KIAA1958,Uncharacterized protein KIAA1958,0,0,0,0,1699600,0
Q8N8L6,ARL10,ADP-ribosylation factor-like protein 10,0,0,0,0,0,3012300
Q8N8N7,PTGR2,Prostaglandin reductase 2,17539000,14622000,13375000,13805000,15999000,16602000
Q8N8R7,ARL14EP,ARL14 effector protein,2979000,3260500,2052500,4715200,4391500,7040300
Q8N8S7,ENAH,Protein enabled homolog,118570000,116340000,121100000,83702000,105380000,91518000
Q8N8X9,MAB21L3,Protein mab-21-like 3,0,0,0,5880300,0,0
Q8N8Y2,ATP6V0D2,V-type proton ATPase subunit d 2,0,0,3309600,0,0,0
Q8N954,GPATCH11,G patch domain-containing protein 11,2247900,2600400,2318700,3999400,3513300,3649200
Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial",4495100,0,12135000,12917000,0,0
Q8N9A8,CNEP1R1,Nuclear envelope phosphatase-regulatory subunit 1,0,0,0,0,0,1226100
Q8N9F7,GDPD1,Glycerophosphodiester phosphodiesterase domain-containing protein 1,24651000,29420000,30181000,53817000,53364000,57859000
Q8N9I0,SYT2,Synaptotagmin-2,0,0,0,3575600,4446600,3271200
Q8N9I9,DTX3,Probable E3 ubiquitin-protein ligase DTX3,10764000,10952000,6806200,10018000,11542000,10553000
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1,1433300,2318900,1914600,1665100,2005700,1764200
Q8N9N7,LRRC57,Leucine-rich repeat-containing protein 57,18209000,17781000,19298000,31646000,33913000,31701000
Q8N9N8,EIF1AD,Probable RNA-binding protein EIF1AD,3505700,3587100,2524100,5524600,7416300,5463200
Q8N9R8,SCAI,Protein SCAI,0,0,0,0,2527700,0
Q8N9T8,KRI1,Protein KRI1 homolog,0,0,0,2357400,4546900,0
Q8NAF0,ZNF579,Zinc finger protein 579,3125800,2515900,2545200,4827200,3454700,5970900
Q8NAT1,POMGNT2,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",0,0,0,0,0,2348800
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A,16837000,20068000,20274000,18362000,24839000,23827000
Q8NB25,FAM184A,Protein FAM184A,0,0,0,0,0,519100
Q8NB37,PDDC1,Parkinson disease 7 domain-containing protein 1,26259000,20293000,22811000,18952000,19359000,13924000
Q8NB49,ATP11C,Phospholipid-transporting ATPase IG,2691600,0,0,3737500,3250400,3014000
Q8NB78,KDM1B,Lysine-specific histone demethylase 1B,4742100,5086300,4316400,9155200,9422000,7815100
Q8NB90,SPATA5,Spermatogenesis-associated protein 5,126010000,136560000,100680000,121810000,167410000,112610000
Q8NBF2,NHLRC2,NHL repeat-containing protein 2,36946000,29626000,31508000,41323000,41176000,36779000
Q8NBF6,AVL9,Late secretory pathway protein AVL9 homolog,7977400,9306600,8879200,10536000,10247000,7131900
Q8NBI6,XXYLT1,Xyloside xylosyltransferase 1,3303600,2727100,3755400,4754800,3625500,4135900
Q8NBJ4,GOLM1,Golgi membrane protein 1,11809000,13270000,13928000,7674400,12445000,8696200
Q8NBJ5,COLGALT1,Procollagen galactosyltransferase 1,28933000,39922000,38907000,52882000,40651000,47498000
Q8NBJ7,SUMF2,Sulfatase-modifying factor 2,66144000,80473000,98416000,36947000,33577000,30478000
Q8NBJ9,SIDT2,SID1 transmembrane family member 2,9403400,8706300,10873000,3231600,0,3131500
Q8NBK3,SUMF1,Sulfatase-modifying factor 1,1885400,1836500,1858600,0,0,1146600
Q8NBL1,POGLUT1,Protein O-glucosyltransferase 1,4433500,4349500,7355500,5233100,4226100,7943400
Q8NBM4,UBAC2,Ubiquitin-associated domain-containing protein 2,0,0,0,0,0,689840
Q8NBM8,PCYOX1L,Prenylcysteine oxidase-like,2183800,0,3220700,0,0,0
Q8NBN3,TMEM87A,Transmembrane protein 87A,4017200,5011800,5185700,6174800,7031000,6171400
Q8NBN7,RDH13,Retinol dehydrogenase 13,0,0,2084200,0,0,0
Q8NBP0,TTC13,Tetratricopeptide repeat protein 13,3965500,7414100,5226600,8519100,8605000,7225700
Q8NBQ5,HSD17B11,Estradiol 17-beta-dehydrogenase 11,25835000,28872000,31047000,38216000,37143000,41966000
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5,125690000,123710000,132830000,139770000,127320000,137400000
Q8NBT2,SPC24,Kinetochore protein Spc24,0,4248100,0,0,0,0
Q8NBU5,ATAD1,ATPase family AAA domain-containing protein 1,83824000,105480000,105640000,95925000,96976000,91567000
Q8NBW4,SLC38A9,Sodium-coupled neutral amino acid transporter 9,0,16207000,0,0,0,0
Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,73712000,57504000,63505000,43935000,48879000,42540000
Q8NBZ7,UXS1,UDP-glucuronic acid decarboxylase 1,0,2385100,5465300,4622300,4460100,4307900
Q8NC44,FAM134A,Protein FAM134A,2037700,1812000,2244700,0,0,0
Q8NC51,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein,123470000,129280000,133340000,163690000,172120000,160830000
Q8NC56,LEMD2,LEM domain-containing protein 2,15341000,14239000,18210000,16938000,13874000,15836000
Q8NC60,NOA1,Nitric oxide-associated protein 1,0,0,0,0,1988500,0
Q8NC96,NECAP1,Adaptin ear-binding coat-associated protein 1,6199400,7271700,6290500,6757000,6133600,6525400
Q8NCA5,FAM98A,Protein FAM98A,32742000,43634000,33611000,31750000,50513000,29758000
Q8NCB2,CAMKV,CaM kinase-like vesicle-associated protein,4851500,0,5915500,43500000,48989000,43771000
Q8NCC3,PLA2G15,Group XV phospholipase A2,218030000,253180000,236670000,0,237600000,185260000
Q8NCD3,HJURP,Holliday junction recognition protein,0,0,0,1700400,1599900,2247800
Q8NCE0,TSEN2,tRNA-splicing endonuclease subunit Sen2,0,0,0,0,0,624320
Q8NCE2,MTMR14,Myotubularin-related protein 14,1586100,0,0,0,0,0
Q8NCF5,NFATC2IP,NFATC2-interacting protein,0,0,868830,0,2697300,0
Q8NCG7,DAGLB,Sn1-specific diacylglycerol lipase beta,1931800,2194000,2978100,0,2862900,0
Q8NCH0,CHST14,Carbohydrate sulfotransferase 14,3791900,5500700,4160700,5818300,3826600,3928600
Q8NCM8,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1,27325000,27504000,23434000,21810000,19108000,15021000
Q8NCN5,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",24320000,25046000,22736000,23278000,22619000,22147000
Q8NCW5,APOA1BP,NAD(P)H-hydrate epimerase,284870000,313370000,215040000,93633000,129930000,88955000
Q8ND04,SMG8,Protein SMG8,2552000,2927000,2833900,4150000,5783900,3645500
