Protein_IDs,Gene_names,Protein_names
Q7L523;Q5VZM2,RRAGA;RRAGB,Ras-related GTP-binding protein A;Ras-related GTP-binding protein B
Q5W0B1,RNF219,RING finger protein 219
Q5W0V3,FAM160B1,Protein FAM160B1
Q5W111,SPRYD7,SPRY domain-containing protein 7
Q5XUX1,FBXW9,F-box/WD repeat-containing protein 9
Q641Q2;Q5SRD0,FAM21A,WASH complex subunit FAM21A
Q658Y4,FAM91A1,Protein FAM91A1
Q66K14;Q6ZT07,TBC1D9B,TBC1 domain family member 9B
Q66K74,MAP1S,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain
Q66PJ3,ARL6IP4,ADP-ribosylation factor-like protein 6-interacting protein 4
Q676U5,ATG16L1,Autophagy-related protein 16-1
Q68BL7,OLFML2A,Olfactomedin-like protein 2A
Q68CP9,ARID2,AT-rich interactive domain-containing protein 2
Q68CQ7,GLT8D1,Glycosyltransferase 8 domain-containing protein 1
Q68CZ2;Q63HR2;Q9HBL0,TNS3,Tensin-3
Q68CZ6,HAUS3,HAUS augmin-like complex subunit 3
Q68DK7,MSL1,Male-specific lethal 1 homolog
Q68E01,INTS3,Integrator complex subunit 3
Q68EM7,ARHGAP17,Rho GTPase-activating protein 17
Q69YN2,CWF19L1,CWF19-like protein 1
Q69YN4,KIAA1429,Protein virilizer homolog
Q69YQ0,SPECC1L,Cytospin-A
Q69YU5,C12orf73,Uncharacterized protein C12orf73
Q6BDS2,UHRF1BP1,UHRF1-binding protein 1
Q6DD88,ATL3,Atlastin-3
Q6DKI1,RPL7L1,60S ribosomal protein L7-like 1
Q6DKJ4,NXN,Nucleoredoxin
Q6DKK2,TTC19,"Tetratricopeptide repeat protein 19, mitochondrial"
Q6DN90;Q5JU85,IQSEC1,IQ motif and SEC7 domain-containing protein 1
Q6FI81,CIAPIN1,Anamorsin
Q6GMV3,PTRHD1,Putative peptidyl-tRNA hydrolase PTRHD1
Q6GQQ9;Q8TE49,OTUD7B,OTU domain-containing protein 7B
Q6GYQ0,RALGAPA1,Ral GTPase-activating protein subunit alpha-1
Q6I9Y2,THOC7,THO complex subunit 7 homolog
Q6IA86,ELP2,Elongator complex protein 2
Q6IAA8,LAMTOR1,Ragulator complex protein LAMTOR1
Q6IAN0,DHRS7B,Dehydrogenase/reductase SDR family member 7B
Q6IBS0,TWF2,Twinfilin-2
Q6IC98,GRAMD4,GRAM domain-containing protein 4
Q6ICG6,KIAA0930,Uncharacterized protein KIAA0930
Q6IN85,SMEK1,Serine/threonine-protein phosphatase 4 regulatory subunit 3A
Q6IQ22,RAB12,Ras-related protein Rab-12
Q6IQ32,ADNP2,ADNP homeobox protein 2
Q6IQ49,SDE2,Protein SDE2 homolog
Q6IS24,WBSCR17,Putative polypeptide N-acetylgalactosaminyltransferase-like protein 3
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10
Q6KC79,NIPBL,Nipped-B-like protein
Q6KCM7;Q9BV35,SLC25A25,Calcium-binding mitochondrial carrier protein SCaMC-2
Q6L8Q7,PDE12,"2,5-phosphodiesterase 12"
Q6N069,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit"
Q6NTF9,RHBDD2,Rhomboid domain-containing protein 2
Q6NUK1,SLC25A24,Calcium-binding mitochondrial carrier protein SCaMC-1
Q6NUM9,RETSAT,"All-trans-retinol 13,14-reductase"
Q6NUQ4,TMEM214,Transmembrane protein 214
Q6NUS6,TCTN3,Tectonic-3
Q6NVY1,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
Q6NW29,RWDD4,RWD domain-containing protein 4
Q6NW34,C3orf17,Uncharacterized protein C3orf17
Q6NXE6,ARMC6,Armadillo repeat-containing protein 6
Q6NXT4,SLC30A6,Zinc transporter 6
Q6NXT6,TAPT1,Transmembrane anterior posterior transformation protein 1 homolog
Q6NYC8,PPP1R18,Phostensin
Q6P582;Q6NZ67,MZT2A;MZT2B,Mitotic-spindle organizing protein 2A;Mitotic-spindle organizing protein 2B
Q6NZI2,PTRF,Polymerase I and transcript release factor
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8
Q6P158,DHX57,Putative ATP-dependent RNA helicase DHX57
Q6P1A2,LPCAT3,Lysophospholipid acyltransferase 5
Q6P1J9,CDC73,Parafibromin
Q6P1K2,PMF1,Polyamine-modulated factor 1
Q6P1L8,MRPL14,"39S ribosomal protein L14, mitochondrial"
Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4
Q6P1N0,CC2D1A,Coiled-coil and C2 domain-containing protein 1A
Q6P1N9,TATDN1,Putative deoxyribonuclease TATDN1
Q6P1Q0,LETMD1,LETM1 domain-containing protein 1
Q96IZ6;Q6P1Q9,METTL2A;METTL2B,Methyltransferase-like protein 2A;Methyltransferase-like protein 2B
Q6P1R4,DUS1L,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like
Q6P1X6,C8orf82,UPF0598 protein C8orf82
Q6P2C8,MED27,Mediator of RNA polymerase II transcription subunit 27
Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4
Q6P2P2,PRMT9,Putative protein arginine N-methyltransferase 9
Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8
Q6P3W7,SCYL2,SCY1-like protein 2
Q6P3X3,TTC27,Tetratricopeptide repeat protein 27
Q6P4A7,SFXN4,Sideroflexin-4
Q6P4E1,CASC4,Protein CASC4
Q6P4F2,FDX1L,"Adrenodoxin-like protein, mitochondrial"
Q6P4I2,WDR73,WD repeat-containing protein 73
Q6P587,FAHD1,"Acylpyruvase FAHD1, mitochondrial"
Q6P996;Q6P474,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1
Q6P9B6,TLDC1,TLD domain-containing protein 1
Q6PCB7,SLC27A1,Long-chain fatty acid transport protein 1
Q6PCE3,PGM2L1,"Glucose 1,6-bisphosphate synthase"
Q6PD62,CTR9,RNA polymerase-associated protein CTR9 homolog
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34
Q6PGP7,TTC37,Tetratricopeptide repeat protein 37
Q6PHR2,ULK3,Serine/threonine-protein kinase ULK3
Q6PI48,DARS2,"Aspartate--tRNA ligase, mitochondrial"
Q6PI78,TMEM65,Transmembrane protein 65
Q6PID6,TTC33,Tetratricopeptide repeat protein 33
Q6PIU2,NCEH1,Neutral cholesterol ester hydrolase 1
Q6PJ69,TRIM65,Tripartite motif-containing protein 65
Q6PJI9,WDR59,WD repeat-containing protein 59
Q6PJT7,ZC3H14,Zinc finger CCCH domain-containing protein 14
Q6PK18,OGFOD3,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3
Q6PKG0;Q659C4,LARP1,La-related protein 1
Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2
Q6PL24,TMED8,Protein TMED8
Q6PML9,SLC30A9,Zinc transporter 9
Q6PUV4,CPLX2,Complexin-2
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR
Q6RFH5,WDR74,WD repeat-containing protein 74
Q6STE5,SMARCD3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3
Q6SZW1,SARM1,Sterile alpha and TIR motif-containing protein 1
Q6UB35,MTHFD1L,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial"
Q6UN15,FIP1L1,Pre-mRNA 3-end-processing factor FIP1
Q6UVY6,MOXD1,DBH-like monooxygenase protein 1
Q6UWE0,LRSAM1,E3 ubiquitin-protein ligase LRSAM1
Q6UWP2,DHRS11,Dehydrogenase/reductase SDR family member 11
Q6UWP7,LCLAT1,Lysocardiolipin acyltransferase 1
Q6UWY0,ARSK,Arylsulfatase K
Q6UX04,CWC27,Peptidyl-prolyl cis-trans isomerase CWC27 homolog
Q6UX71,PLXDC2,Plexin domain-containing protein 2
Q6UXH1,CRELD2,Cysteine-rich with EGF-like domain protein 2
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2
Q6UXN9,WDR82,WD repeat-containing protein 82
Q6UXV4,APOOL,MICOS complex subunit MIC27
Q6V0I7,FAT4,Protocadherin Fat 4
Q6VMQ6,ATF7IP,Activating transcription factor 7-interacting protein 1
Q6VN20,RANBP10,Ran-binding protein 10
Q6VY07,PACS1,Phosphofurin acidic cluster sorting protein 1
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein
Q6WKZ4;Q7L804,RAB11FIP1,Rab11 family-interacting protein 1
Q6XZF7,DNMBP,Dynamin-binding protein
Q6Y288,B3GALTL,"Beta-1,3-glucosyltransferase"
Q6Y7W6,GIGYF2,PERQ amino acid-rich with GYF domain-containing protein 2
Q6YHK3,CD109,CD109 antigen
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2
Q6YP21,CCBL2,Kynurenine--oxoglutarate transaminase 3
Q6ZMI0,PPP1R21,Protein phosphatase 1 regulatory subunit 21
Q6ZMK1,CYHR1,Cysteine and histidine-rich protein 1
Q6ZMP0,THSD4,Thrombospondin type-1 domain-containing protein 4
Q6ZN17,LIN28B,Protein lin-28 homolog B
Q6ZN55,ZNF574,Zinc finger protein 574
Q6ZNB6,NFXL1,NF-X1-type zinc finger protein NFXL1
Q6ZPD9,DPY19L3,Probable C-mannosyltransferase DPY19L3
Q6ZRP7,QSOX2,Sulfhydryl oxidase 2
Q6ZRS2,SRCAP,Helicase SRCAP
Q6ZS17,FAM65A,Protein FAM65A
Q6ZSR9,,Uncharacterized protein FLJ45252
Q6ZSZ5,ARHGEF18,Rho guanine nucleotide exchange factor 18
Q6ZT12,UBR3,E3 ubiquitin-protein ligase UBR3
Q6ZTA4,TRIM67,Tripartite motif-containing protein 67
Q6ZU35,KIAA1211,Uncharacterized protein KIAA1211
Q6ZU65,UBN2,Ubinuclein-2
Q6ZUT9,DENND5B,DENN domain-containing protein 5B
Q6ZVM7,TOM1L2,TOM1-like protein 2
Q6ZW49,PAXIP1,PAX-interacting protein 1
Q6ZWJ1,STXBP4,Syntaxin-binding protein 4
Q6ZXV5,TMTC3,Transmembrane and TPR repeat-containing protein 3
Q709C8,VPS13C,Vacuolar protein sorting-associated protein 13C
Q709F0,ACAD11,Acyl-CoA dehydrogenase family member 11
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34
Q70E73;Q7Z5R6,RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1
Q70IA6,MOB2,MOB kinase activator 2
Q70UQ0,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein
Q70Z53,FRA10AC1,Protein FRA10AC1
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2
Q71RC2,LARP4,La-related protein 4
Q71SY5,MED25,Mediator of RNA polymerase II transcription subunit 25
Q71U36;P0DPH8;P0DPH7;Q6PEY2;Q9NY65,TUBA1A,Tubulin alpha-1A chain
Q75QN2,INTS8,Integrator complex subunit 8
Q75T13,PGAP1,GPI inositol-deacylase
Q765P7,MTSS1L,MTSS1-like protein
Q76M96,CCDC80,Coiled-coil domain-containing protein 80
Q7KZ85,SUPT6H,Transcription elongation factor SPT6
Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1
Q7KZI7,MARK2,Serine/threonine-protein kinase MARK2
Q7L014,DDX46,Probable ATP-dependent RNA helicase DDX46
Q7L099,RUFY3,Protein RUFY3
Q7L0Y3,TRMT10C,Mitochondrial ribonuclease P protein 1
Q7L190,DPPA4,Developmental pluripotency-associated protein 4
Q7L1Q6,BZW1,Basic leucine zipper and W2 domain-containing protein 1
Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain
Q7L2E3,DHX30,Putative ATP-dependent RNA helicase DHX30
Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme
Q7L311,ARMCX2,Armadillo repeat-containing X-linked protein 2
Q7L3T8,PARS2,"Probable proline--tRNA ligase, mitochondrial"
Q7L4I2,RSRC2,Arginine/serine-rich coiled-coil protein 2
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1
Q7L592,NDUFAF7,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7"
Q7L5D6,GET4,Golgi to ER traffic protein 4 homolog
Q7L5N1,COPS6,COP9 signalosome complex subunit 6
Q7L5Y9,MAEA,Macrophage erythroblast attacher
Q7L775,EPM2AIP1,EPM2A-interacting protein 1
Q7L7V1,DHX32,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32
Q7L7X3,TAOK1,Serine/threonine-protein kinase TAO1
Q7L8W6,DPH6,Diphthine--ammonia ligase
Q9H8S9;Q7L9L4,MOB1A;MOB1B,MOB kinase activator 1A;MOB kinase activator 1B
Q7LBC6,KDM3B,Lysine-specific demethylase 3B
Q7LBR1,CHMP1B,Charged multivesicular body protein 1b
Q7LGA3,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1
Q7RTP6,MICAL3,Protein-methionine sulfoxide oxidase MICAL3
Q7RTV0,PHF5A,PHD finger-like domain-containing protein 5A
Q7Z2K8,GPRIN1,G protein-regulated inducer of neurite outgrowth 1
Q7Z2T5,TRMT1L,TRMT1-like protein
Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1
Q7Z2W9,MRPL21,"39S ribosomal protein L21, mitochondrial"
Q7Z2Z2,EFTUD1,Elongation factor Tu GTP-binding domain-containing protein 1
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11
Q7Z3B4,NUP54,Nucleoporin p54
Q7Z3D6,C14orf159,"UPF0317 protein C14orf159, mitochondrial"
Q7Z3E5,ARMC9,LisH domain-containing protein ARMC9
Q7Z3J2,C16orf62,UPF0505 protein C16orf62
Q7Z3K3,POGZ,Pogo transposable element with ZNF domain
Q7Z3T8,ZFYVE16,Zinc finger FYVE domain-containing protein 16
Q7Z3U7,MON2,Protein MON2 homolog
Q7Z406,MYH14,Myosin-14
Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein
Q7Z460,CLASP1,CLIP-associating protein 1
Q7Z478,DHX29,ATP-dependent RNA helicase DHX29
Q7Z4G1,COMMD6,COMM domain-containing protein 6
Q7Z4H7,HAUS6,HAUS augmin-like complex subunit 6
Q7Z4H8,KDELC2,KDEL motif-containing protein 2
Q7Z4K8,TRIM46,Tripartite motif-containing protein 46
Q7Z4L5;Q8NDW8,TTC21B,Tetratricopeptide repeat protein 21B
Q7Z4Q2,HEATR3,HEAT repeat-containing protein 3
Q7Z4S6,KIF21A,Kinesin-like protein KIF21A
Q7Z4V5,HDGFRP2,Hepatoma-derived growth factor-related protein 2
Q7Z4W1,DCXR,L-xylulose reductase
Q7Z569,BRAP,BRCA1-associated protein
Q7Z589,EMSY,Protein EMSY
Q7Z5J4,RAI1,Retinoic acid-induced protein 1
Q7Z5K2,WAPAL,Wings apart-like protein homolog
Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2
Q7Z6B0,CCDC91,Coiled-coil domain-containing protein 91
Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase-activating protein 1
Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6
Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2
Q7Z6J6,FRMD5,FERM domain-containing protein 5
Q7Z6J9,TSEN54,tRNA-splicing endonuclease subunit Sen54
Q7Z6K5,ARPIN,Arpin
Q7Z6L0,PRRT2,Proline-rich transmembrane protein 2
Q7Z6L1,TECPR1,Tectonin beta-propeller repeat-containing protein 1
Q7Z6M4,MTERF4,"Transcription termination factor 4, mitochondrial;mTERF domain-containing protein 2 processed"
Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1
Q7Z739,YTHDF3,YTH domain-containing family protein 3
Q7Z7A1,CNTRL,Centriolin
Q7Z7E8;Q8WVN8,UBE2Q1;UBE2Q2,Ubiquitin-conjugating enzyme E2 Q1;Ubiquitin-conjugating enzyme E2 Q2
Q7Z7F0,KIAA0907,UPF0469 protein KIAA0907
Q7Z7F7,MRPL55,"39S ribosomal protein L55, mitochondrial"
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4
Q7Z7H8,MRPL10,"39S ribosomal protein L10, mitochondrial"
Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog
Q7Z7K6,CENPV,Centromere protein V
Q86SF2,GALNT7,N-acetylgalactosaminyltransferase 7
Q86SX6,GLRX5,"Glutaredoxin-related protein 5, mitochondrial"
Q86SZ2,TRAPPC6B,Trafficking protein particle complex subunit 6B
Q86T03,TMEM55B,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase"
Q86TG7,PEG10,Retrotransposon-derived protein PEG10
Q86TI2,DPP9,Dipeptidyl peptidase 9
Q86TP1,PRUNE,Protein prune homolog
Q86TU7,SETD3,Histone-lysine N-methyltransferase setd3
Q86TX2;P49753,ACOT1;ACOT2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial"
Q86U28,ISCA2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial"
Q86U38,NOP9,Nucleolar protein 9
Q86U42,PABPN1,Polyadenylate-binding protein 2
Q86U44,METTL3,N6-adenosine-methyltransferase 70 kDa subunit
Q86U86,PBRM1,Protein polybromo-1
Q86U90,YRDC,"YrdC domain-containing protein, mitochondrial"
Q86UA1,PRPF39,Pre-mRNA-processing factor 39
Q86UA6,RPAIN,RPA-interacting protein
Q86UE4,MTDH,Protein LYRIC
Q86UK7,ZNF598,Zinc finger protein 598
Q86UL3,AGPAT6,Glycerol-3-phosphate acyltransferase 4
Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"
Q86UP2,KTN1,Kinectin
Q86US8,SMG6,Telomerase-binding protein EST1A
Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1
Q86UV5,USP48,Ubiquitin carboxyl-terminal hydrolase 48
Q86UW6,N4BP2,NEDD4-binding protein 2
Q86UX2,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5
Q86UY8,NT5DC3,5-nucleotidase domain-containing protein 3
Q86V21,AACS,Acetoacetyl-CoA synthetase
Q86V48,LUZP1,Leucine zipper protein 1
Q86V81,ALYREF,THO complex subunit 4
Q86VM9,ZC3H18,Zinc finger CCCH domain-containing protein 18
Q86VN1,VPS36,Vacuolar protein-sorting-associated protein 36
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1
Q86VS8,HOOK3,Protein Hook homolog 3
Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1
Q86W42,THOC6,THO complex subunit 6 homolog
Q86W50,METTL16,Methyltransferase-like protein 16
Q86W56,PARG,Poly(ADP-ribose) glycohydrolase
Q86W92;Q8ND30,PPFIBP1,Liprin-beta-1
Q86WA6,BPHL,Valacyclovir hydrolase
Q86WA8,LONP2,"Lon protease homolog 2, peroxisomal"
Q86WB0,ZC3HC1,Nuclear-interacting partner of ALK
Q86WC4,OSTM1,Osteopetrosis-associated transmembrane protein 1
Q86WG5,SBF2,Myotubularin-related protein 13
Q86WJ1,CHD1L,Chromodomain-helicase-DNA-binding protein 1-like
Q86WQ0,NR2C2AP,Nuclear receptor 2C2-associated protein
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25
Q86WT1;Q8N4P2,TTC30A;TTC30B,Tetratricopeptide repeat protein 30A;Tetratricopeptide repeat protein 30B
Q86WW8,COA5,Cytochrome c oxidase assembly factor 5
Q86X10,RALGAPB,Ral GTPase-activating protein subunit beta
Q86X27,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2
Q86X55,CARM1,Histone-arginine methyltransferase CARM1
Q86X76,NIT1,Nitrilase homolog 1
Q86X83,COMMD2,COMM domain-containing protein 2
Q86XA9,HEATR5A,HEAT repeat-containing protein 5A
Q86XL3,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2
Q86XP3,DDX42,ATP-dependent RNA helicase DDX42
Q86XZ4,SPATS2,Spermatogenesis-associated serine-rich protein 2
Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q86Y56,DNAAF5,"Dynein assembly factor 5, axonemal"
Q86Y82,STX12,Syntaxin-12
Q86YM7,HOMER1,Homer protein homolog 1
Q86YP4,GATAD2A,Transcriptional repressor p66-alpha
Q86YR5,GPSM1,G-protein-signaling modulator 1
Q86YS7,C2CD5,C2 domain-containing protein 5
Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1
Q8IU81,IRF2BP1,Interferon regulatory factor 2-binding protein 1
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D
Q8IUC4;A8MT19,RHPN2,Rhophilin-2
Q8IUD2,ERC1,ELKS/Rab6-interacting/CAST family member 1
Q8IUE6,HIST2H2AB,Histone H2A type 2-B
Q9BRT8;Q8IUF1;Q5RIA9;Q5JTY5;Q4V339,CBWD1;CBWD2;CBWD5;CBWD3;CBWD6,COBW domain-containing protein 1;COBW domain-containing protein 2;COBW domain-containing protein 5;COBW domain-containing protein 3;COBW domain-containing protein 6
Q8IUH3,RBM45,RNA-binding protein 45
Q8IUH4,ZDHHC13,Palmitoyltransferase ZDHHC13
Q8IUR0,TRAPPC5,Trafficking protein particle complex subunit 5
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8
Q8IUX7,AEBP1,Adipocyte enhancer-binding protein 1
Q8IV08,PLD3,Phospholipase D3
Q8IV36,HID1,Protein HID1
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2
Q8IV48,ERI1,3-5 exoribonuclease 1
Q8IVD9,NUDCD3,NudC domain-containing protein 3
Q8IVF2,AHNAK2,Protein AHNAK2
Q8IVH4,MMAA,"Methylmalonic aciduria type A protein, mitochondrial"
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50
Q8IVS2,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial"
Q8IVT5,KSR1,Kinase suppressor of Ras 1
Q8IW35,CEP97,Centrosomal protein of 97 kDa
Q8IW45,CARKD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase
Q8IW50,FAM219A,Protein FAM219A
Q8IWA0,WDR75,WD repeat-containing protein 75
Q8IWA4,MFN1,Mitofusin-1
Q8IWA5,SLC44A2,Choline transporter-like protein 2
Q8IWB7,WDFY1,WD repeat and FYVE domain-containing protein 1
Q8IWB9,TEX2,Testis-expressed sequence 2 protein
Q8IWE2,FAM114A1,Protein NOXP20
Q8IWI9,MGA,MAX gene-associated protein
Q8IWJ2,GCC2,GRIP and coiled-coil domain-containing protein 2
Q8IWL3,HSCB,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial"
Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2
Q8IWR0,ZC3H7A,Zinc finger CCCH domain-containing protein 7A
Q8IWS0,PHF6,PHD finger protein 6
Q8IWU5,SULF2,Extracellular sulfatase Sulf-2
Q8IWU6,SULF1,Extracellular sulfatase Sulf-1
Q8IWV7,UBR1,E3 ubiquitin-protein ligase UBR1
Q8IWW6,ARHGAP12,Rho GTPase-activating protein 12
Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein
Q8IWY4;Q9NQ36,SCUBE1,"Signal peptide, CUB and EGF-like domain-containing protein 1"
Q8IWZ3,ANKHD1,Ankyrin repeat and KH domain-containing protein 1
Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1
Q8IX01,SUGP2,SURP and G-patch domain-containing protein 2
Q8IX04,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3
Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1
Q8IX30,SCUBE3,"Signal peptide, CUB and EGF-like domain-containing protein 3"
Q8IX90,SKA3,Spindle and kinetochore-associated protein 3
Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10
Q8IXH7,NELFCD,Negative elongation factor C/D
Q8IXI1,RHOT2,Mitochondrial Rho GTPase 2
Q8IXI2,RHOT1,Mitochondrial Rho GTPase 1
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2
Q8IXK0,PHC2,Polyhomeotic-like protein 2
Q8IXM2,BAP18,Chromatin complexes subunit BAP18
Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial"
Q8IXQ4,GPALPP1,GPALPP motifs-containing protein 1
Q8IXQ5,KLHL7,Kelch-like protein 7
Q8IXQ6,PARP9,Poly [ADP-ribose] polymerase 9
Q8IXT5,RBM12B,RNA-binding protein 12B
Q8IXW5,RPAP2,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2
Q8IXZ3,SP8,Transcription factor Sp8
Q8IY17;Q6ZV29,PNPLA6,Neuropathy target esterase
Q8IY18,SMC5,Structural maintenance of chromosomes protein 5
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60
Q8IY22,CMIP,C-Maf-inducing protein
Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37
Q8IY67,RAVER1,Ribonucleoprotein PTB-binding 1
Q8IY81,FTSJ3,pre-rRNA processing protein FTSJ3
Q8IY95,TMEM192,Transmembrane protein 192
Q8IYB3,SRRM1,Serine/arginine repetitive matrix protein 1
Q8IYB5,SMAP1,Stromal membrane-associated protein 1
Q8IYB7,DIS3L2,DIS3-like exonuclease 2
Q8IYB8,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial"
Q8IYD1,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
Q8IYI6,EXOC8,Exocyst complex component 8
Q8IYQ7,THNSL1,Threonine synthase-like 1
Q8IYR6,TMEFF1,Tomoregulin-1
Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial"
Q8IZ21,PHACTR4,Phosphatase and actin regulator 4
Q8IZ40,RCOR2,REST corepressor 2
Q8IZ69,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A
Q8IZ73,RPUSD2,RNA pseudouridylate synthase domain-containing protein 2
Q8IZ81,ELMOD2,ELMO domain-containing protein 2
Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1
Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B
Q8IZL8,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1"
Q8IZP0,ABI1,Abl interactor 1
Q8IZQ1,WDFY3,WD repeat and FYVE domain-containing protein 3
Q8IZQ5,SELH,Selenoprotein H
Q8N0W4;Q8NFZ3,NLGN4X;NLGN4Y,"Neuroligin-4, X-linked;Neuroligin-4, Y-linked"
Q8N0X4,CLYBL,"Citrate lyase subunit beta-like protein, mitochondrial"
Q8N0X7,SPG20,Spartin
Q8N0Z6,TTC5,Tetratricopeptide repeat protein 5
Q8N108,MIER1,Mesoderm induction early response protein 1
Q8N111,CEND1,Cell cycle exit and neuronal differentiation protein 1
Q8N122,RPTOR,Regulatory-associated protein of mTOR
Q8N126,CADM3,Cell adhesion molecule 3
Q8N128,FAM177A1,Protein FAM177A1
Q8N129,CNPY4,Protein canopy homolog 4
Q8N131,TMEM123,Porimin
Q8N158,GPC2,Glypican-2;Secreted glypican-2
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2
Q8N183,NDUFAF2,"Mimitin, mitochondrial"
Q8N1B4,VPS52,Vacuolar protein sorting-associated protein 52 homolog
